BUSINESS_ID,MICROSITE_ACCOUNT_NUMBER,ACCOUNT_REGISTRATION_DATE,ADDRESS_ID,SOURCE_MERCHANT_ID,BUSINESS_TYPE,KYB_APPROVED_FLAG_MICROSITE,KYB_APPROVED_FLAG_SITE,KYB_STATUS,FULL_LEGAL_BUSINESS_NAME,BUSINESS_ACTIVITY_TYPE,BUSINESS_REGISTRATION_DATE,BUSINESS_BANK_NAME,PARTING_WAYS_FLAG,EDD_FLAG,STANDARD_EDD_FLAG_UPDATED_DATE,LOCAL_EDD_FLAG_UPDATED_DATE,PEP_FLAG,STANDARD_PEP_FLAG_UPDATED_DATE,LOCAL_PEP_FLAG_UPDATED_DATE,ENTITY_LIST_RESTRICTION_STATUS,ENTITY_LIST_RESTRICTION_DATE,RISK_LEVEL_INDICATOR,STANDARD_KYB_APPROVED_DATE,LOCAL_KYB_APPROVED_DATE,ROW_CREATED_TIMESTAMP,ROW_UPDATED_TIMESTAMP
47032206271,61091200390,5/25/2002,93482060404,65041401020,CORPORATION,TRUE,TRUE,Approved,Flashpoint,Parent,2/1/1982,NS BANK,green,TRUE,12/28/2016,10/26/2016,In-Active,11/14/2020,1/27/2020,Yes,11/4/2018,High,10/12/2014,12/5/2015,06/05/2012 18:42:00,11/03/2019 00:27:00
88088705265,93065501480,1/10/2003,47745447001,17054407023,GOVERNMENT,TRUE,FALSE,Approved,Katz,Trust,10/18/1989,VEK,blue,FALSE,3/7/2018,4/20/2016,In-Active,7/9/2017,12/20/2020,No,8/3/2013,Medium,9/3/2018,9/8/2006,12/20/2001 13:51:00,07/12/2018 22:37:00
25091009500,47030306909,2/23/2015,1738768809,36078108874,LLC,TRUE,FALSE,Rejected,Jaxnation,Sub-Industry,3/8/1989,MBHHS,blue,FALSE,2/4/2019,8/11/2020,In-Active,3/19/2018,1/15/2019,Yes,8/27/2020,Ultra High,3/12/2013,5/15/2013,09/20/2009 19:02:00,09/02/2016 23:42:00
81015709411,89050602489,5/9/2009,63972567900,83908177,LIMITED_PARTNERSHIP,TRUE,FALSE,In-Progress,Miboo,Parent,10/27/1978,AK Bars,red,FALSE,11/3/2018,3/16/2017,In-Active,9/1/2018,7/22/2018,Yes,4/13/2013,Medium,12/3/2005,12/20/2012,12/09/2002 11:53:00,04/01/2019 06:45:00
22020705018,77075107642,9/20/2007,16289788408,17004207622,LLC,FALSE,FALSE,Rejected,Quaxo,Sub-Industry,12/11/2008,MAIMA,green,FALSE,11/27/2017,10/27/2016,In-Active,12/22/2017,1/19/2021,Yes,10/13/2015,Medium,6/2/2015,11/23/2019,03/02/2005 18:39:00,01/17/2017 03:22:00
29037305004,63061505240,12/21/2020,67721347405,20055803256,NONPROFIT,TRUE,FALSE,Approved,Edgepulse,Trust,11/4/2007,AKIBANK,red,FALSE,7/19/2015,9/28/2020,Active,3/12/2018,3/1/2017,Yes,1/14/2013,Ultra High,1/16/2014,5/29/2014,12/29/2016 20:51:00,08/08/2018 06:36:00
55084101264,82068605270,8/15/2017,62505144409,50024605274,GOVERNMENT,TRUE,TRUE,Approved,Jaxworks,Industry,6/10/1979,KAPITAL,blue,FALSE,5/1/2020,9/12/2017,Active,7/9/2017,9/19/2017,Yes,5/13/2015,High,2/7/2014,8/15/2011,08/29/2012 20:29:00,05/26/2018 07:08:00
12096300454,83065608529,8/7/2014,42971632303,81000306251,CORPORATION,FALSE,TRUE,Approved,Demivee,Sub-Industry,1/7/1987,METROBANK,orange,TRUE,6/16/2020,1/14/2016,Active,5/8/2017,3/15/2018,No,9/16/2019,High,6/7/2019,3/23/2016,01/14/2010 18:44:00,06/16/2020 02:30:00
6032707560,81017500260,9/1/2011,6928140403,26073408569,GOVERNMENT,FALSE,TRUE,In-Progress,Mudo,Industry,1/20/2016,BGF,red,TRUE,7/4/2016,7/22/2018,In-Active,5/7/2020,10/20/2018,Yes,9/7/2010,Ultra High,11/19/2017,10/10/2020,02/17/2005 00:13:00,08/07/2019 02:05:00
38095202887,9000307708,10/17/2007,69419775704,41048807218,LLC,FALSE,FALSE,Approved,Quamba,Child,9/13/1990,BRB Bank,blue,FALSE,9/14/2015,4/22/2015,Active,4/14/2020,2/1/2017,No,2/26/2017,Medium,5/1/2007,11/24/2015,05/24/2013 23:26:00,07/23/2018 03:52:00
50088705448,46075006143,8/13/2006,3641447500,63068102092,LIMITED_PARTNERSHIP,FALSE,TRUE,Rejected,Jaxbean,Customer,10/23/2016,Integral,orange,TRUE,11/20/2020,1/11/2021,In-Active,4/4/2020,3/5/2020,Yes,8/31/2019,Medium,3/10/2009,4/23/2004,07/09/2019 13:37:00,10/27/2016 23:57:00
52061903756,22086207231,11/11/2002,6691742809,37020307548,LIMITED_PARTNERSHIP,TRUE,TRUE,In-Progress,Snaptags,Parent,8/13/1983,NS BANK,red,FALSE,8/21/2018,6/12/2017,In-Active,7/14/2017,5/8/2020,No,8/15/2020,Ultra High,11/11/2012,12/22/2014,10/27/2015 19:02:00,12/14/2020 03:13:00
62015006411,26025102483,8/15/2018,4490957602,54067907199,GOVERNMENT,FALSE,FALSE,Approved,Talane,Sub-Industry,1/23/1978,Integral,green,TRUE,9/2/2015,6/14/2015,In-Active,1/13/2020,7/15/2018,Yes,10/20/2011,High,5/15/2009,1/26/2017,09/28/2016 22:18:00,12/29/2019 10:01:00
62051307141,72058708366,11/8/2020,84711688102,52091107935,GOVERNMENT,FALSE,FALSE,Rejected,Zava,Child,1/7/2009,VIKING,blue,TRUE,1/29/2020,9/27/2015,In-Active,5/3/2019,1/29/2017,No,12/23/2018,High,3/18/2019,11/30/2013,04/08/2006 13:12:00,02/25/2020 16:25:00
72034404955,89024709598,12/18/2014,23868587007,37094800855,NONPROFIT,FALSE,TRUE,Approved,Realcube,Trust,9/12/1986,VOKBANK,orange,TRUE,2/3/2016,6/14/2015,Active,3/16/2019,6/11/2017,No,4/7/2012,Medium,10/1/2012,6/13/2008,06/16/2002 17:10:00,02/03/2019 23:25:00
16037608726,96006400320,10/2/2009,15938582005,24055900018,GOVERNMENT,FALSE,FALSE,Rejected,Gigazoom,Child,5/8/1994,NAITOV,blue,FALSE,2/3/2020,4/7/2016,Active,10/9/2017,9/29/2018,No,4/2/2014,Medium,7/13/2009,5/31/2003,10/23/2016 12:28:00,11/29/2018 23:00:00
83077006997,69078507605,10/18/2015,84247715204,97034402352,GOVERNMENT,TRUE,TRUE,Rejected,Roodel,Child,7/5/1989,MBHHS,green,TRUE,9/29/2016,3/30/2017,Active,3/25/2020,10/18/2019,Yes,7/3/2010,High,1/6/2021,5/4/2004,03/14/2000 05:23:00,10/14/2019 20:00:00
32049901921,96031407937,10/28/2020,17802934405,6049504454,CORPORATION,FALSE,FALSE,Rejected,Jayo,Customer,7/14/2011,VOKBANK,orange,TRUE,1/30/2020,10/29/2018,Active,10/28/2019,11/4/2018,No,5/11/2011,Medium,6/12/2005,5/7/2015,07/28/2015 13:28:00,06/26/2020 06:13:00
32069408434,27088305568,12/19/2013,49083443503,99000303784,LIMITED_PARTNERSHIP,FALSE,TRUE,Rejected,Flashset,Parent,8/16/2020,Bank Zenit,orange,TRUE,5/26/2019,7/30/2016,In-Active,11/4/2018,10/12/2018,Yes,1/29/2014,Low,3/25/2015,10/8/2008,01/23/2012 23:34:00,05/20/2017 08:03:00
31069906771,60080901570,8/25/2007,42918957908,62073008076,NONPROFIT,TRUE,TRUE,Approved,Janyx,Parent,10/8/2010,VTB,blue,FALSE,4/16/2018,6/2/2018,In-Active,10/15/2017,11/4/2017,Yes,3/25/2018,High,1/7/2013,5/18/2004,01/09/2018 13:58:00,08/02/2016 00:20:00
73031303347,69013201922,9/19/2010,59103215404,36052908489,NONPROFIT,TRUE,FALSE,Approved,Fiveclub,Trust,7/24/1994,AK Bars,orange,TRUE,4/22/2016,5/4/2018,In-Active,5/13/2020,6/12/2019,Yes,12/28/2019,High,1/5/2018,10/6/2008,03/23/2004 19:58:00,06/14/2020 13:49:00
58066904421,11044009765,5/7/2013,49400475309,32035301241,LIMITED_PARTNERSHIP,TRUE,FALSE,Approved,Blogpad,Parent,2/27/2012,MAIMA,orange,TRUE,6/22/2019,2/25/2016,Active,2/24/2018,2/5/2019,Yes,2/19/2016,Ultra High,1/27/2004,4/15/2020,10/02/2013 02:28:00,01/05/2021 17:04:00
32040504467,71023705572,4/11/2006,44035932901,86051505456,LLC,FALSE,TRUE,Approved,Jabberstorm,Customer,1/28/2008,IS Bank,orange,FALSE,3/20/2018,9/17/2017,In-Active,7/30/2019,10/19/2019,Yes,4/29/2015,Medium,8/2/2009,11/3/2003,03/16/2002 09:45:00,08/08/2017 09:02:00
75060601282,41058309479,5/1/2012,9774608403,26017408447,NONPROFIT,TRUE,TRUE,Approved,Wikizz,Parent,11/11/2019,MAIMA,orange,FALSE,12/14/2017,7/2/2018,In-Active,7/7/2017,5/20/2019,No,2/23/2020,High,11/18/2020,12/26/2011,06/16/2003 04:48:00,08/11/2019 19:21:00
68035806148,57023803018,7/31/2010,49530960405,77010709910,LLC,FALSE,TRUE,Approved,Edgeclub,Sub-Industry,9/20/1998,ATB,red,FALSE,12/17/2016,12/3/2017,Active,10/24/2018,3/22/2020,No,9/24/2016,High,3/12/2004,6/27/2004,01/03/2005 23:44:00,07/01/2018 19:20:00
67054301052,27048308523,10/9/2004,56546898806,1054603215,LIMITED_PARTNERSHIP,FALSE,FALSE,Submitted,Kamba,Sub-Industry,8/21/2002,NS BANK,blue,FALSE,7/26/2016,8/20/2016,In-Active,1/9/2018,11/14/2020,No,7/31/2010,Ultra High,4/16/2013,2/21/2010,03/09/2008 12:14:00,09/09/2019 10:10:00
28066208738,21050808348,3/13/2006,89734753407,57043705940,GOVERNMENT,FALSE,FALSE,Rejected,Edgewire,Trust,9/7/1996,AKIBANK,green,TRUE,8/8/2016,10/6/2017,Active,7/26/2019,11/20/2018,No,1/26/2011,High,12/28/2005,9/4/2017,10/11/2013 09:28:00,01/06/2019 18:44:00
58046607930,17052401993,4/12/2015,84325578101,85015800344,LLC,TRUE,TRUE,Submitted,Flashset,Customer,6/23/1991,VTB,orange,FALSE,3/7/2019,8/6/2015,Active,10/29/2017,3/25/2018,No,9/14/2018,Low,11/18/2008,4/2/2009,12/03/2018 07:18:00,02/26/2017 09:42:00
23082508633,22046102731,10/11/2019,79363328603,68008309190,CORPORATION,FALSE,TRUE,Approved,Photobug,Customer,12/29/1991,MIGROS,blue,FALSE,5/12/2019,4/15/2017,Active,8/12/2019,7/8/2018,No,8/20/2010,Ultra High,8/6/2007,4/21/2006,10/26/2011 10:29:00,05/03/2018 02:19:00
83056001514,91063407696,4/26/2006,9255705204,46045602019,LIMITED_PARTNERSHIP,TRUE,TRUE,Rejected,Buzzbean,Parent,10/17/1982,NOVOKIB,red,TRUE,7/20/2018,5/28/2019,In-Active,7/4/2018,2/11/2019,Yes,7/24/2015,Medium,1/24/2005,2/2/2009,10/20/2001 20:43:00,04/15/2019 16:35:00
15048206694,6029406251,7/22/2014,15811063904,71049003911,LIMITED_PARTNERSHIP,FALSE,FALSE,Approved,Kayveo,Customer,7/11/1989,Globus,green,FALSE,2/10/2017,9/21/2015,In-Active,6/23/2019,8/30/2020,No,1/19/2020,Ultra High,9/21/2017,4/30/2007,06/06/2017 14:26:00,04/23/2017 02:54:00
1043106563,54071907843,9/24/2001,72557771004,59022502185,LIMITED_PARTNERSHIP,TRUE,FALSE,Rejected,Gigaclub,Trust,9/5/2013,VOKBANK,green,FALSE,12/6/2018,4/10/2018,In-Active,2/11/2018,11/10/2018,No,9/30/2016,Ultra High,7/15/2005,6/6/2014,04/18/2015 17:05:00,01/24/2019 04:47:00
25061905065,80095006922,5/5/2010,98690834407,8051609285,LLC,FALSE,FALSE,Submitted,Meedoo,Parent,3/3/2009,agroros,orange,FALSE,12/14/2019,11/5/2018,Active,5/23/2020,1/23/2018,Yes,7/7/2019,Low,1/18/2011,11/30/2011,11/17/2001 15:12:00,03/30/2018 18:28:00
90072604758,61082401221,4/20/2001,58131722101,93704710,CORPORATION,FALSE,FALSE,Approved,Gigashots,Customer,9/17/2009,BKF,orange,TRUE,11/3/2017,7/8/2018,In-Active,3/11/2019,9/5/2018,No,10/28/2011,High,10/18/2015,11/10/2015,09/13/2007 14:28:00,11/27/2017 14:12:00
93032703757,55099609188,12/7/2002,44214401705,25028602176,NONPROFIT,FALSE,FALSE,Rejected,Yambee,Customer,5/24/1979,Bank of Moscow,red,FALSE,11/16/2018,2/17/2017,In-Active,4/30/2020,3/10/2017,No,7/18/2015,High,9/20/2015,1/15/2004,05/05/2015 02:12:00,01/09/2021 23:07:00
30064206082,64057301414,5/25/2015,50896418907,92307768,CORPORATION,FALSE,FALSE,Rejected,Zazio,Customer,12/11/1983,Avangard,red,FALSE,2/15/2016,10/3/2015,Active,10/4/2019,9/24/2020,Yes,8/13/2013,Ultra High,1/23/2017,6/6/2010,01/27/2010 16:09:00,04/20/2017 03:38:00
27056509188,79050307611,7/16/2004,24786249400,95028105915,LLC,TRUE,FALSE,Approved,Vidoo,Child,10/1/1991,Dalena,orange,TRUE,7/4/2020,5/28/2017,In-Active,6/7/2019,10/12/2020,No,9/10/2019,Ultra High,6/17/2012,1/2/2006,03/01/2019 00:20:00,07/18/2019 05:26:00
70065803098,40007706219,9/19/2002,17532290409,88005408858,LIMITED_PARTNERSHIP,FALSE,TRUE,Approved,Mita,Industry,11/20/2020,NOVOKIB,red,FALSE,12/5/2020,12/3/2019,In-Active,7/28/2017,3/3/2017,Yes,7/23/2015,High,6/6/2018,3/9/2008,09/15/2002 21:24:00,01/29/2019 03:28:00
23058700874,79019605390,2/8/2000,75892434206,38029701855,NONPROFIT,FALSE,FALSE,Rejected,Dynava,Child,9/14/2004,MBHHS,blue,TRUE,2/2/2020,2/5/2016,Active,8/13/2020,5/21/2020,Yes,6/11/2011,Low,12/11/2006,4/1/2018,07/20/2015 20:38:00,09/07/2019 10:39:00
24007107319,88049109115,8/25/2020,13749275200,35059209662,CORPORATION,FALSE,TRUE,Rejected,Gabtune,Sub-Industry,2/18/2016,VTB,red,FALSE,2/25/2019,12/20/2017,Active,7/9/2018,3/14/2020,No,1/28/2013,Low,8/30/2007,6/20/2016,08/03/2002 03:00:00,08/05/2020 12:39:00
93067104722,55087005057,5/31/2005,63768606408,87026904236,LLC,FALSE,TRUE,Approved,Cogilith,Sub-Industry,2/14/1987,ATB,green,FALSE,9/17/2018,5/14/2017,Active,8/3/2017,12/22/2017,No,1/20/2020,High,6/30/2010,8/4/2014,12/19/2013 16:06:00,12/04/2020 17:04:00
48005401164,48048106080,12/17/2014,61062307703,72044703151,NONPROFIT,TRUE,FALSE,Submitted,Einti,Industry,7/21/1993,Avangard,red,TRUE,12/30/2020,4/7/2019,Active,9/30/2020,7/26/2018,No,8/9/2016,Medium,3/6/2014,5/1/2004,11/09/2003 12:49:00,08/24/2020 10:54:00
89062800443,58014109805,5/12/2017,67042682305,96032800886,CORPORATION,FALSE,FALSE,Rejected,Jayo,Sub-Industry,5/23/2003,Integral,orange,FALSE,12/9/2019,4/8/2015,Active,9/22/2019,3/18/2018,Yes,6/15/2019,Medium,6/19/2020,8/21/2017,07/15/2018 19:32:00,07/11/2020 23:40:00
52094600747,71045503103,7/24/2005,44077260509,86008604861,NONPROFIT,TRUE,FALSE,In-Progress,Jabberstorm,Customer,3/29/2010,Dalena,blue,TRUE,7/31/2020,12/6/2020,In-Active,6/30/2019,12/31/2017,No,7/4/2017,High,4/14/2019,12/30/2015,09/21/2017 11:13:00,05/22/2018 09:12:00
52011900679,81064301589,10/13/2010,73149881808,3047305127,CORPORATION,FALSE,TRUE,Submitted,Tagopia,Child,10/30/2020,NAITOV,orange,TRUE,11/17/2016,1/13/2019,In-Active,9/11/2019,12/11/2017,Yes,7/11/2012,Medium,6/16/2014,3/7/2004,10/27/2012 16:20:00,05/21/2020 17:53:00
7095702909,77047102209,5/6/2006,98628079101,6064600395,NONPROFIT,TRUE,TRUE,Submitted,Wikizz,Customer,7/14/2015,NR BANK,blue,FALSE,5/6/2018,9/11/2017,In-Active,9/25/2020,5/12/2018,No,2/26/2013,High,11/1/2005,6/22/2010,01/08/2005 09:16:00,11/25/2019 09:34:00
20054308682,73050807624,5/14/2019,74497331808,63080301007,GOVERNMENT,TRUE,FALSE,Rejected,Oloo,Parent,9/15/1995,BRB Bank,green,FALSE,4/5/2020,3/27/2015,Active,6/27/2020,10/8/2020,Yes,7/12/2017,High,7/1/2010,11/15/2005,05/15/2016 15:57:00,06/17/2019 10:06:00
31016207934,55064904824,11/4/2016,61199741506,15013800632,LIMITED_PARTNERSHIP,FALSE,FALSE,In-Progress,Jaxspan,Parent,8/14/1993,Integral,red,FALSE,9/29/2019,5/11/2017,In-Active,2/12/2018,6/1/2018,No,6/25/2012,Ultra High,5/29/2008,4/15/2013,01/11/2004 03:02:00,05/22/2019 12:01:00
66007106046,76028807570,9/26/2012,3303757706,52039006859,GOVERNMENT,TRUE,FALSE,In-Progress,Browseblab,Industry,1/27/1979,NAITOV,blue,TRUE,2/11/2018,3/7/2019,Active,6/22/2018,1/20/2019,Yes,8/6/2010,High,1/15/2009,12/26/2017,07/15/2009 18:01:00,02/02/2018 02:22:00
53078502032,14001005732,11/15/2008,61407332207,25090907823,LLC,FALSE,TRUE,Submitted,Gigashots,Parent,7/7/1990,BGF,blue,FALSE,12/21/2019,2/3/2016,In-Active,9/30/2019,11/30/2018,No,8/8/2018,Medium,3/12/2005,7/14/2014,01/18/2002 11:37:00,09/18/2018 17:01:00
8070008698,5010005575,6/21/2013,31486720809,36084109232,LIMITED_PARTNERSHIP,TRUE,TRUE,Rejected,Mynte,Customer,3/12/1980,agroros,green,TRUE,5/29/2016,8/18/2018,In-Active,1/13/2018,1/5/2019,No,4/22/2012,Ultra High,6/7/2016,12/8/2020,04/04/2005 14:48:00,04/14/2016 15:30:00
60025905457,26057908774,11/25/2014,95753823007,13089003406,NONPROFIT,FALSE,FALSE,Approved,Browsetype,Industry,4/27/1997,Dalena,blue,FALSE,11/27/2015,9/7/2015,In-Active,5/26/2017,4/19/2020,No,8/26/2019,Medium,6/20/2018,1/2/2010,07/07/2018 17:07:00,06/02/2020 02:08:00
77026206348,17060907885,5/24/2011,14409090803,42002804973,LIMITED_PARTNERSHIP,TRUE,TRUE,In-Progress,Buzzster,Parent,6/4/2012,NAITOV,blue,TRUE,8/21/2020,5/4/2020,In-Active,6/16/2020,4/24/2019,Yes,2/9/2020,High,4/23/2004,4/25/2020,10/28/2012 12:33:00,03/05/2017 23:28:00
24064900958,79055107998,3/29/2006,56994246100,20079905217,NONPROFIT,TRUE,FALSE,Approved,Miboo,Industry,3/26/1985,METROBANK,red,FALSE,10/13/2018,9/7/2016,In-Active,2/22/2020,2/16/2020,Yes,11/24/2013,Ultra High,7/26/2016,1/9/2004,03/27/2010 23:11:00,08/12/2017 19:59:00
96066409328,35049008584,5/10/2014,15979882600,58021601383,CORPORATION,TRUE,FALSE,Rejected,Photobug,Child,5/25/1985,KOR,green,FALSE,5/10/2018,8/11/2015,Active,3/7/2020,9/2/2019,No,5/11/2020,Low,4/22/2003,7/13/2019,09/22/2001 05:03:00,03/11/2017 23:19:00
82031409310,71023209985,5/5/2003,17740215306,57038909924,LIMITED_PARTNERSHIP,TRUE,TRUE,Approved,Blogspan,Industry,5/16/2012,KOR,blue,FALSE,9/19/2017,7/10/2017,Active,10/1/2017,9/4/2020,Yes,1/11/2019,High,12/11/2011,3/17/2008,08/23/2014 14:30:00,11/17/2016 02:01:00
90076408845,35035301435,5/21/2004,35331597001,63021802626,CORPORATION,TRUE,TRUE,Rejected,Abatz,Industry,4/23/1981,Dalena,blue,TRUE,6/2/2017,1/24/2020,Active,4/14/2019,8/15/2018,No,2/28/2014,Low,7/2/2016,8/6/2012,03/15/2007 00:09:00,05/14/2017 16:12:00
91084308924,23087906515,4/10/2001,83239430807,3015905621,LLC,FALSE,TRUE,In-Progress,Cogilith,Industry,7/30/2015,Globus,blue,FALSE,9/20/2019,2/22/2020,Active,2/24/2017,10/30/2019,No,12/30/2019,Ultra High,4/11/2018,3/6/2006,03/22/2009 01:25:00,07/17/2016 08:42:00
38035603768,75076506558,1/17/2001,25754519900,66074009224,LLC,TRUE,TRUE,Rejected,Jamia,Customer,4/11/2020,Globus,red,FALSE,3/3/2015,8/31/2016,Active,10/23/2020,5/29/2017,Yes,6/18/2018,Low,10/18/2006,6/5/2016,12/30/2014 12:52:00,07/11/2016 16:45:00
86010500583,89057508384,12/15/2011,74564291101,25078502432,CORPORATION,TRUE,TRUE,Submitted,Kwilith,Child,12/31/1983,Integral,red,FALSE,11/19/2019,7/26/2015,In-Active,11/15/2019,11/19/2019,No,3/11/2012,Low,5/30/2009,1/30/2004,08/22/2009 19:58:00,02/15/2020 14:39:00
18060303938,82090302317,9/26/2001,47022011007,54014605631,GOVERNMENT,FALSE,TRUE,Submitted,Jaloo,Parent,2/26/2010,NOVOKIB,orange,FALSE,4/8/2015,3/6/2020,Active,2/8/2019,4/13/2018,No,11/15/2020,Low,7/1/2007,3/7/2009,09/25/2010 06:01:00,03/04/2018 04:19:00
14001907313,35050904368,5/31/2004,30842638303,34071009923,LLC,FALSE,TRUE,Submitted,Livefish,Industry,1/13/2021,KANSKII,red,TRUE,5/23/2017,3/11/2016,In-Active,2/4/2019,3/14/2018,No,9/26/2019,High,8/31/2008,8/30/2013,11/23/2009 08:47:00,09/28/2019 18:06:00
99070906132,80046907517,11/9/2001,74860180200,89098808364,LIMITED_PARTNERSHIP,TRUE,TRUE,In-Progress,Wordware,Sub-Industry,4/4/2012,Bank of Moscow,red,FALSE,5/14/2020,10/9/2017,In-Active,1/15/2021,10/16/2018,No,5/25/2017,Medium,2/9/2013,5/3/2015,05/21/2002 07:11:00,11/02/2017 09:03:00
3051705849,36068900751,4/29/2013,82515886500,39055102462,GOVERNMENT,FALSE,FALSE,Rejected,Trudoo,Parent,12/11/2017,agroros,green,TRUE,8/20/2020,12/11/2016,In-Active,7/3/2017,7/16/2017,Yes,5/20/2011,Low,2/18/2015,2/27/2012,05/10/2019 17:49:00,12/22/2016 08:17:00
35011506611,79024902645,9/1/2020,85260910500,91052809560,GOVERNMENT,TRUE,TRUE,Rejected,Dablist,Customer,6/27/2015,BPF,green,TRUE,7/23/2015,2/18/2016,Active,6/25/2018,4/20/2019,Yes,12/18/2019,High,12/22/2016,10/28/2003,05/03/2014 02:45:00,02/24/2018 08:15:00
83088908424,61011300707,10/17/2001,47237732105,56056006588,LIMITED_PARTNERSHIP,TRUE,FALSE,In-Progress,Skyndu,Industry,7/1/1977,Globus,red,FALSE,4/3/2019,1/6/2017,In-Active,9/26/2019,3/27/2019,Yes,3/10/2013,Medium,9/19/2015,6/22/2005,12/14/2014 21:12:00,03/20/2019 12:24:00
37005702895,48031208521,12/25/2019,24948008200,65036804373,LLC,FALSE,TRUE,Rejected,Meevee,Parent,5/12/2004,AK Bars,red,FALSE,4/1/2015,4/23/2018,In-Active,7/14/2017,4/22/2019,Yes,3/14/2019,Medium,5/31/2013,9/15/2011,07/23/2017 14:34:00,11/04/2019 01:56:00
71030502840,77025404894,11/23/2014,58459486605,31090003294,LIMITED_PARTNERSHIP,TRUE,FALSE,Rejected,Leexo,Parent,6/21/1987,agroros,blue,TRUE,3/27/2016,10/7/2017,Active,4/15/2018,6/20/2017,No,11/29/2015,Medium,6/17/2019,7/11/2016,06/10/2010 21:36:00,12/16/2018 18:18:00
